episode,episode_reward,capture,capture_step,episode_length,avg_distance,avg_inter_agent_dist,avg_enclosure,success_rate
0,772.7730196216496,0,-1,300,6.873265517366085,8.345322483337263,0.47770505944637864,0.0
1,887.8901185616453,0,-1,300,4.96392652631275,4.857181558360144,0.41714933856815334,0.0
2,1975.4847423141416,0,-1,300,4.27845811664283,8.29168487390565,0.8552070785057142,0.0
3,1063.2732589849695,0,-1,300,6.342405426601876,8.943313972623077,0.5350759781836973,0.0
4,1572.4461462308093,0,-1,300,5.177521726918204,8.586237068740807,0.694017307214723,0.0
5,1416.4959766413238,0,-1,300,4.981240243046338,7.537541701856073,0.6275659587567323,0.0
6,1595.8870039200854,0,-1,300,5.586577828554308,9.5177716549663,0.7068522520141924,0.0
7,999.604709492199,0,-1,300,5.900929126166532,7.555232130565055,0.5234717144841069,0.0
8,1045.164468234692,0,-1,300,6.3043725098866545,8.914101679574737,0.555634966437898,0.0
9,1181.794434630725,0,-1,300,5.124775322062545,6.78383228254442,0.5412075877656412,0.0
10,1352.5042806252802,0,-1,300,4.458222561985688,6.392564825151121,0.596980119475426,0.0
11,1668.635628775779,0,-1,300,3.830078290851581,6.5173356318610765,0.723990432504628,0.0
12,893.3979171814473,0,-1,300,5.357860221877851,5.746029609049997,0.4324736642713988,0.0
13,1474.0432734848087,0,-1,300,3.9010190499297845,6.00178787692465,0.643442340159811,0.0
14,856.1415956712627,0,-1,300,6.38822389663802,7.362382274980444,0.4804165008502967,0.0
15,797.9610707130745,0,-1,300,6.934019272280148,8.170411644130319,0.4764799176674463,0.0
16,1070.2644701775725,0,-1,300,6.605432571072201,9.889636872010522,0.579572543010284,0.0
17,534.9945235505762,0,-1,300,7.343347782115184,7.944411864692998,0.40354415919099795,0.0
18,863.1818006661503,0,-1,300,6.02640937240955,6.507561036938676,0.4468423292055446,0.0
19,1453.8281298240142,0,-1,300,5.883695035348081,9.572040125016722,0.6673075895378344,0.0
20,1280.5139310480831,0,-1,300,4.972608508151984,7.024760778903833,0.5856106100534092,0.0
21,600.4719172715944,0,-1,300,7.868065528554988,10.191595519079726,0.4930871113396618,0.0
22,377.7701686847918,0,-1,300,7.323699452153617,6.9097309573860155,0.3371679610615248,0.0
23,583.8005032431158,0,-1,300,6.648113734587143,6.068857548802904,0.3598377438557951,0.0
24,681.343008075008,0,-1,300,7.823347837189696,11.522421844104358,0.5578898084156705,0.0
25,1790.490324312582,0,-1,300,4.8726520175858745,8.749612354176485,0.782582525262136,0.0
26,1093.2383275462796,0,-1,300,6.231564450610411,9.214463444931923,0.5946759420299662,0.0
27,569.3467963926054,0,-1,300,6.467228668666476,5.967197814048877,0.35805506785342395,0.0
28,1819.087740626022,0,-1,300,5.530908987050653,10.387811188807888,0.7994350426637225,0.0
29,743.6433987570566,0,-1,300,6.53769576945977,7.849746161184481,0.4577770285756533,0.0
30,603.7319744689166,0,-1,300,7.15308260864766,8.445723833519557,0.4449725285280105,0.0
31,1195.6382396617596,0,-1,300,6.407773536693958,10.503516073300892,0.6535253729805798,0.0
32,1707.8271019794554,0,-1,300,5.5481884668809665,10.01516923456864,0.7663390673073517,0.0
33,1358.043056404334,0,-1,300,5.422195229165594,8.367363046149082,0.6404748405388766,0.0
34,818.4975744141159,0,-1,300,6.458240177604232,8.346198794475752,0.4992291448012527,0.0
35,563.0544608724447,0,-1,300,7.480410042016221,8.492462319324833,0.42508294078415165,0.0
36,918.182181145154,0,-1,300,6.64978523293832,9.744412725479856,0.5611416450471445,0.0
37,935.777261619638,0,-1,300,7.246962193697555,11.514304153945515,0.6164895608708828,0.0
38,468.20881490391145,0,-1,300,7.844099848219206,8.468927921108174,0.3986655598156428,0.0
39,1076.595398809387,0,-1,300,6.9646298578170915,11.13485691914668,0.6360457193391856,0.0
40,-167.68145560139195,0,-1,300,9.315636422299551,10.818068564777573,0.37590888149279006,0.0
41,1632.8252950705685,0,-1,300,4.612713307118998,7.857233971266795,0.7149392227494625,0.0
42,560.951750529762,0,-1,300,8.903041075746396,14.067143379350524,0.6143181762004584,0.0
43,1442.2477341552901,0,-1,300,5.9915916290796565,10.055929041467808,0.6946019183129674,0.0
44,760.6986661837457,0,-1,300,6.863210646130877,8.337248933839332,0.4736050948399523,0.0
45,1177.0285167882594,0,-1,300,6.692852333745567,10.51431208958422,0.6385953300221542,0.0
46,1181.1691261039036,0,-1,300,5.9948861588189315,8.867143320824145,0.5919907182383287,0.0
47,737.2575810485264,0,-1,300,6.972949329932341,8.358323838557673,0.4627720309396564,0.0
48,1479.7996274476438,0,-1,300,5.474565951072416,9.028510047306034,0.6607514630868127,0.0
49,1911.1607204784539,0,-1,300,6.039157352487678,11.52174252864679,0.8481180918115929,0.0
50,687.9761028840048,0,-1,300,7.479885499188936,9.62217250059886,0.4904799744237775,0.0
51,1229.1978397940645,0,-1,300,6.130796421086385,9.758345422017065,0.6375072398360419,0.0
52,147.16930085804194,0,-1,300,7.990917021093769,7.680071166542728,0.31062553384682773,0.0
53,372.482566885531,0,-1,300,7.999682546370974,11.03475988173881,0.5015688785589548,0.0
54,974.7168054053474,0,-1,300,5.887406113631116,7.861121350828396,0.5065436781377657,0.0
55,969.143697597187,0,-1,300,6.038342369087915,8.095581808698594,0.5255672142666703,0.0
56,1656.1327732807188,0,-1,300,6.1687917403987065,11.050951069302679,0.75519662183793,0.0
57,860.6377257372129,0,-1,300,7.080851644405866,10.239949231945758,0.5634663088804379,0.0
58,880.2700932393702,0,-1,300,5.716336275668233,7.278798785125908,0.4630869296518245,0.0
59,1350.8611422966906,0,-1,300,5.921664714339128,9.612152512419367,0.6681057617246254,0.0
60,793.9470447208042,0,-1,300,6.636610132276535,8.304166584346358,0.46891210180655113,0.0
61,1651.2357883822822,0,-1,300,4.850682568882127,8.33476785377966,0.7243950310925664,0.0
62,2072.2499631768546,0,-1,300,4.511612590492543,8.865922581737134,0.8972745790857167,0.0
63,1370.0212324524982,0,-1,300,6.458844408377644,11.498713047916475,0.7566521615608185,0.0
64,1750.4556192448265,0,-1,300,6.670588077842449,13.216061688904293,0.9218989717968289,0.0
65,924.6254188314609,0,-1,300,6.580996581910667,9.955860686849714,0.5805885641887469,0.0
66,871.3498405718822,0,-1,300,7.162393978890026,10.885381589655317,0.5825531752293339,0.0
67,1321.122516308736,0,-1,300,5.710239650794693,9.218418222244939,0.6531678154602927,0.0
68,1307.2679846659307,0,-1,300,4.785291965886562,6.977932396071475,0.5843936182730249,0.0
69,418.86469973550845,0,-1,300,7.426591059893008,7.7622362755763845,0.37405110765625593,0.0
70,823.9822263390478,0,-1,300,7.273434879002892,10.990711111280989,0.5887570839426962,0.0
71,802.1956000078976,0,-1,300,6.851318081951763,9.291639979723596,0.5147798859789143,0.0
72,637.6628459540308,0,-1,300,7.119734791586781,9.492227557623751,0.49539159745086997,0.0
73,953.4494914947862,0,-1,300,6.879792439309278,10.48068212176043,0.5898387393471842,0.0
74,2021.6535830623548,0,-1,300,5.051677948873766,9.901600706020867,0.8802432442258673,0.0
75,483.47160721699026,0,-1,300,8.373789468646734,10.870627736287986,0.4815928040923768,0.0
76,983.5477548600346,0,-1,300,6.705058091681581,10.892446482212247,0.6300208392106338,0.0
77,799.1464029103792,0,-1,300,7.033009241385633,10.748869083930149,0.5768375695719966,0.0
78,2029.7677400390176,0,-1,300,5.356032242330523,10.545522287167305,0.8859068001670692,0.0
79,768.4424647482198,0,-1,300,7.028333214364768,9.399082559592188,0.5015815508974607,0.0
80,2087.2591835200865,0,-1,300,5.641456250784532,11.07856588992172,0.9120022483475875,0.0
81,2076.5876656192822,0,-1,300,5.3031773030668035,10.372785184950384,0.9050186904477014,0.0
82,631.4370994462594,0,-1,300,6.816189809816848,7.700492682872453,0.4224754214611035,0.0
83,696.1259161079132,0,-1,300,7.492858841789697,11.080269025415294,0.5520137775060502,0.0
84,1209.4798610942544,0,-1,300,6.790362208859832,11.564652152291412,0.7025812208678556,0.0
85,909.5786280603039,0,-1,300,6.282630106425084,9.27621931090856,0.5432002290874877,0.0
86,722.7510836817016,0,-1,300,8.045748340485503,14.892530139928871,0.7624764236316156,0.0
87,533.3641909189469,0,-1,300,8.883076523169688,14.515527075914576,0.6412406855413928,0.0
88,862.8572783424394,0,-1,300,7.157492840260758,10.34168506912974,0.568131326075605,0.0
89,688.3354347405412,0,-1,300,7.379790873950266,9.724757012184078,0.5081816262458072,0.0
90,1084.0328250977736,0,-1,300,6.712107350682502,10.129232603597059,0.6067004287030022,0.0
91,942.4547049288404,0,-1,300,7.604782900975354,13.63714240355289,0.7344129577713423,0.0
92,2089.7704499180318,0,-1,300,6.078877966472543,12.029193121274815,0.9163292722143911,0.0
93,1710.9270791885447,0,-1,300,5.789886680253359,10.71350997193234,0.7563104330971268,0.0
94,621.4931983868324,0,-1,300,7.686119873783511,9.575751623353543,0.47155915816291855,0.0
95,1340.0114776547352,0,-1,300,5.771373701417254,9.308007541885743,0.6744411822184966,0.0
96,1032.848972670878,0,-1,300,7.923066433892348,14.90382147689981,0.8211990070313424,0.0
